response-was-correct , 3126.39623064
trial-end , 3126.49723064
trial-begin , 3126.49723064
stimulus-match-#5 , 3127.39826753
response-was-correct , 3128.14426753
trial-end , 3128.24326753
trial-begin , 3128.24326753
stimulus-match-#4 , 3129.14530798
response-was-incorrect , 3129.79630798
trial-end , 3129.89830798
trial-begin , 3131.90034989
stimulus-match-#8 , 3132.80334989
response-was-correct , 3134.71226262
trial-end , 3134.87726262
trial-begin , 3134.87726262
stimulus-nomatch-#2 , 3135.77919658
response-was-correct , 3136.79938172
trial-end , 3136.99138172
trial-begin , 3136.99138172
stimulus-nomatch-#9 , 3137.89238172
response-was-correct , 3138.79638172
trial-end , 3138.92238172
trial-begin , 3138.92238172
stimulus-nomatch-#5 , 3139.82342359
response-was-correct , 3140.60342359
trial-end , 3140.71842359
trial-begin , 3140.71942359
stimulus-match-#6 , 3141.62041446
response-was-correct , 3142.44741446
trial-end , 3142.60041446
trial-begin , 3142.60041446
stimulus-match-#9 , 3143.50154291
response-was-incorrect , 3144.27854291
trial-end , 3144.38754291
trial-begin , 3146.3885591
stimulus-match-#9 , 3147.291608
response-was-correct , 3148.070608
trial-end , 3148.189608
trial-begin , 3148.189608
stimulus-match-#3 , 3149.09061426
response-was-correct , 3150.00261426
trial-end , 3150.14261426
trial-begin , 3150.14361426
stimulus-nomatch-#9 , 3151.04468185
response-was-correct , 3151.85368185
trial-end , 3151.95568185
trial-begin , 3151.95668185
stimulus-nomatch-#4 , 3152.85768185
response-was-correct , 3153.7077101
trial-end , 3153.81771011
trial-begin , 3153.81771011
stimulus-match-#6 , 3154.71771011
response-was-correct , 3155.31668775
trial-end , 3155.45968775
trial-begin , 3155.45968775
stimulus-match-#3 , 3156.36068775
response-was-correct , 3157.09874104
trial-end , 3157.21674104
trial-begin , 3157.21674104
stimulus-nomatch-#8 , 3158.11774104
response-was-correct , 3159.01675717
trial-end , 3159.12675717
trial-begin , 3159.12675717
stimulus-match-#7 , 3160.02875717
response-was-correct , 3160.85181866
trial-end , 3160.96481866
trial-begin , 3160.96481866
stimulus-nomatch-#9 , 3161.86581866
response-was-correct , 3162.62081866
trial-end , 3162.73881866
trial-begin , 3162.73881866
stimulus-nomatch-#1 , 3163.64079315
response-was-correct , 3164.37679315
trial-end , 3164.47979315
trial-begin , 3164.47979315
stimulus-nomatch-#6 , 3165.38090013
response-was-correct , 3166.15490013
