376.6,All,AVG RT,310910318
366.6,All,AVG RT,310910318
423.9,All,AVG RT,3109120318
408.9,All,AVG RT,3109120318
414.9,All,AVG RT,319100118
399.2,All,AVG RT,319100118
540.3,All,AVG RT,319100418
512.3,All,AVG RT,319100418
401.8,All,AVG RT,319110118
390.5,All,AVG RT,319110118
345.7,All,AVG RT,319110218
363.9,All,AVG RT,319110218
351.2,All,AVG RT,31950218
366.2,All,AVG RT,31950218
365,All,AVG RT,31950418
342.5,All,AVG RT,31950418
503,All,AVG RT,31960118
456.7,All,AVG RT,31960118
527.1,All,AVG RT,31970118
449.3,All,AVG RT,31970118
379.7,All,AVG RT,31970218
367.9,All,AVG RT,31970218
360,All,AVG RT,31970318
360.9,All,AVG RT,31970318
414.7,All,AVG RT,32050118
413.4,All,AVG RT,3209110318
387.5,All,AVG RT,3209110318
352.9,All,AVG RT,3209120218
317.6,All,AVG RT,3209120218
469,All,AVG RT,32950318
422.7,All,AVG RT,32950318
383.7,All,AVG RT,32950518
364.1,All,AVG RT,32950518
337.9,All,AVG RT,32960218
354.6,All,AVG RT,32960218
415.7,All,AVG RT,32960318
419.7,All,AVG RT,32960318
360.5,All,AVG RT,32960418
339.4,All,AVG RT,32960418
403.3,All,AVG RT,32970418
394.6,All,AVG RT,32970418
398.2,All,AVG RT,GRAND AVG
"
",,,
73.7,All,STDDEV,310910318
57,All,STDDEV,310910318
86.4,All,STDDEV,3109120318
63.5,All,STDDEV,3109120318
77.5,All,STDDEV,319100118
66.8,All,STDDEV,319100118
119.7,All,STDDEV,319100418
78.3,All,STDDEV,319100418
70,All,STDDEV,319110118
65.9,All,STDDEV,319110118
59.3,All,STDDEV,319110218
56,All,STDDEV,319110218
75.6,All,STDDEV,31950218
68.4,All,STDDEV,31950218
67.8,All,STDDEV,31950418
57.3,All,STDDEV,31950418
116.1,All,STDDEV,31960118
91.6,All,STDDEV,31960118
100.9,All,STDDEV,31970118
77.1,All,STDDEV,31970118
127.6,All,STDDEV,31970218
79.1,All,STDDEV,31970218
55.4,All,STDDEV,31970318
55.8,All,STDDEV,31970318
67.6,All,STDDEV,32050118
66.1,All,STDDEV,3209110318
54.7,All,STDDEV,3209110318
93.6,All,STDDEV,3209120218
84.8,All,STDDEV,3209120218
99.3,All,STDDEV,32950318
63.4,All,STDDEV,32950318
76.3,All,STDDEV,32950518
77.8,All,STDDEV,32950518
105,All,STDDEV,32960218
74.6,All,STDDEV,32960218
94.2,All,STDDEV,32960318
90.6,All,STDDEV,32960318
66.2,All,STDDEV,32960418
59.4,All,STDDEV,32960418
72.6,All,STDDEV,32970418
58.5,All,STDDEV,32970418
76.9,All,STDDEV,GRAND AVG
"
",,,
382.2,Corr,AVG RT,310910318
367,Corr,AVG RT,310910318
428.8,Corr,AVG RT,3109120318
410.5,Corr,AVG RT,3109120318
418.7,Corr,AVG RT,319100118
401.9,Corr,AVG RT,319100118
541.1,Corr,AVG RT,319100418
513.4,Corr,AVG RT,319100418
404.9,Corr,AVG RT,319110118
394,Corr,AVG RT,319110118
348.4,Corr,AVG RT,319110218
365.4,Corr,AVG RT,319110218
363.5,Corr,AVG RT,31950218
371.7,Corr,AVG RT,31950218
368.2,Corr,AVG RT,31950418
346.7,Corr,AVG RT,31950418
507.4,Corr,AVG RT,31960118
459,Corr,AVG RT,31960118
527.3,Corr,AVG RT,31970118
451.7,Corr,AVG RT,31970118
405.3,Corr,AVG RT,31970218
379.4,Corr,AVG RT,31970218
360.2,Corr,AVG RT,31970318
361.9,Corr,AVG RT,31970318
415.3,Corr,AVG RT,32050118
414.2,Corr,AVG RT,3209110318
388.7,Corr,AVG RT,3209110318
369.8,Corr,AVG RT,3209120218
337,Corr,AVG RT,3209120218
476.4,Corr,AVG RT,32950318
426,Corr,AVG RT,32950318
394.4,Corr,AVG RT,32950518
376.4,Corr,AVG RT,32950518
366.5,Corr,AVG RT,32960218
365.7,Corr,AVG RT,32960218
421.8,Corr,AVG RT,32960318
426.6,Corr,AVG RT,32960318
362.8,Corr,AVG RT,32960418
344.4,Corr,AVG RT,32960418
411.1,Corr,AVG RT,32970418
398.7,Corr,AVG RT,32970418
404.3,Corr,AVG RT,GRAND AVG
"
",,,
262,Incorr,AVG RT,310910318
259,Incorr,AVG RT,310910318
307.9,Incorr,AVG RT,3109120318
343,Incorr,AVG RT,3109120318
285.9,Incorr,AVG RT,319100118
299.5,Incorr,AVG RT,319100118
224,Incorr,AVG RT,319100418
335.5,Incorr,AVG RT,319100418
220,Incorr,AVG RT,319110118
329,Incorr,AVG RT,319110118
276.9,Incorr,AVG RT,319110218
295,Incorr,AVG RT,319110218
205,Incorr,AVG RT,31950218
254,Incorr,AVG RT,31950218
310.6,Incorr,AVG RT,31950418
236.1,Incorr,AVG RT,31950418
851,Incorr,AVG RT,31960118
438.6,Incorr,AVG RT,31960118
