0, 1.2707e-05, 1.591e-05, 6.4573e-05, 1.363e-05, 2.0689e-05, 8.443e-06, 8.2798e-06, 1.0649e-05, 2.4266e-05, 1.5231e-05, 4.1859e-05
1.3165e-05, 0, 1.0276e-05, 3.3595e-05, 1.6624e-05, 2.7805e-05, 1.1807e-05, 6.4444e-06, 4.5549e-06, 2.6528e-05, 9.5871e-06, 3.8463e-05
2.4705e-05, 1.5816e-05, 0, 3.1595e-05, 1.131e-05, 1.6902e-05, 9.2015e-06, 1.0034e-05, 3.5136e-05, 5.4651e-05, 1.7464e-05, 3.2159e-05
9.3421e-05, 1.8398e-05, 1.7822e-05, 0, 1.0774e-05, 2.2432e-05, 8.4256e-06, 9.4932e-06, 1.6183e-05, 2.9841e-05, 1.8254e-05, 3.9667e-05
1.1984e-05, 2.5177e-05, 7.8916e-06, 2.2597e-05, 0, 3.9443e-05, 6.6603e-06, 1.1441e-05, 8.9924e-06, 2.1466e-05, 9.7066e-06, 4.6361e-05
1.1538e-05, 2.2852e-05, 7.5772e-06, 1.9429e-05, 1.7783e-05, 0, 9.4675e-06, 2.1608e-05, 1.3508e-05, 1.8947e-05, 1.7205e-05, 2.8465e-05
6.2242e-06, 1.3975e-05, 6.898e-06, 2.1213e-05, 1.4349e-05, 2.161e-05, 0, 3.2535e-05, 1.3074e-05, 2.2586e-05, 1.4813e-05, 6.6795e-05
1.3701e-05, 1.5982e-05, 7.3804e-06, 2.3906e-05, 1.6907e-05, 2.7349e-05, 2.858e-05, 0, 9.5775e-06, 2.1572e-05, 2.0624e-05, 3.7556e-05
1.9102e-05, 1.6235e-05, 3.1204e-05, 3.6119e-05, 1.1682e-05, 1.5505e-05, 8.7112e-06, 1.1905e-05, 0, 3.1762e-05, 1.0938e-05, 3.373e-05
1.9746e-05, 4.2598e-05, 1.4679e-05, 2.754e-05, 1.5215e-05, 1.5852e-05, 3.3506e-05, 1.6216e-05, 1.3429e-05, 0, 9.4228e-06, 2.9004e-05
9.8007e-06, 9.1137e-06, 1.431e-05, 2.1302e-05, 1.1407e-05, 2.4296e-05, 7.7679e-06, 3.1578e-05, 3.6308e-06, 1.7382e-05, 0, 2.2667e-05
2.7844e-05, 1.1164e-05, 1.8273e-05, 2.1115e-05, 2.8882e-05, 2.1217e-05, 9.2886e-06, 1.3935e-05, 6.7168e-06, 1.733e-05, 7.5291e-06, 0
